(x, y, cap, sonde, angle_sonde)
(1.099977424806006, 1.0948552872335424, -5.299061453904555, 2.84, 84.20625)
(1.099977424806006, 1.0948552872335424, -5.299061453904555, 2.84, 86.175)
(1.099977424806006, 1.0948552872335424, -5.299061453904555, 2.84, 88.14375)
(1.099977424806006, 1.0948552872335424, -5.299061453904555, 2.84, 90.1125)
(1.099977424806006, 1.0948552872335424, -5.299061453904555, 2.846667, 92.08125)
(1.120959733616591, 1.1372877612891128, -5.287969285434267, -1.0, 94.05)
(1.120959733616591, 1.1372877612891128, -5.287969285434267, -1.0, 96.01875)
(1.120959733616591, 1.1372877612891128, -5.287969285434267, -1.0, 97.9875)
(1.120959733616591, 1.1372877612891128, -5.287969285434267, -1.0, 99.95625)
(1.120959733616591, 1.1372877612891128, -5.287969285434267, -1.0, 97.9875)
(1.120959733616591, 1.1372877612891128, -5.287969285434267, -1.0, 96.01875)
(1.120959733616591, 1.1372877612891128, -5.287969285434267, 2.846667, 94.05)
(1.120959733616591, 1.1372877612891128, -5.287969285434267, 2.846667, 92.08125)
(1.1481893018747535, 1.191653002742478, -5.272810502279549, 2.84, 90.1125)
(1.1481893018747535, 1.191653002742478, -5.272810502279549, 2.84, 88.14375)
(1.1481893018747535, 1.191653002742478, -5.272810502279549, 2.673333, 86.175)
(1.1481893018747535, 1.191653002742478, -5.272810502279549, 2.833333, 84.20625)
(1.1481893018747535, 1.191653002742478, -5.272810502279549, 2.666667, 82.2375)
(1.1481893018747535, 1.191653002742478, -5.272810502279549, 2.84, 80.26875)
(1.1481893018747535, 1.191653002742478, -5.272810502279549, 2.846667, 79.9875)
(1.1481893018747535, 1.191653002742478, -5.272810502279549, 2.666667, 80.26875)
(1.1686315621057335, 1.2324943703092355, -5.272668470629872, 2.666667, 82.2375)
(1.1686315621057335, 1.2324943703092355, -5.272668470629872, 2.666667, 84.20625)
(1.1686315621057335, 1.2324943703092355, -5.272668470629872, 2.84, 86.175)
(1.1686315621057335, 1.2324943703092355, -5.272668470629872, 2.84, 88.14375)
(1.1686315621057335, 1.2324943703092355, -5.272668470629872, 2.86, 90.1125)
(1.1686315621057335, 1.2324943703092355, -5.272668470629872, -1.0, 92.08125)
(1.1686315621057335, 1.2324943703092355, -5.272668470629872, -1.0, 94.05)
(1.1686315621057335, 1.2324943703092355, -5.272668470629872, -1.0, 96.01875)
(1.1846909520075748, 1.275800771764514, -5.273691400333036, -1.0, 97.9875)
(1.1846909520075748, 1.275800771764514, -5.273691400333036, -1.0, 99.95625)
(1.1846909520075748, 1.275800771764514, -5.273691400333036, -1.0, 97.9875)
(1.1846909520075748, 1.275800771764514, -5.273691400333036, -1.0, 96.01875)
(1.1846909520075748, 1.275800771764514, -5.273691400333036, 2.86, 94.05)
(1.1846909520075748, 1.275800771764514, -5.273691400333036, 2.84, 92.08125)
(1.1846909520075748, 1.275800771764514, -5.273691400333036, 2.846667, 90.1125)
(1.1846909520075748, 1.275800771764514, -5.273691400333036, 2.693333, 88.14375)
(1.2106850144026262, 1.3250587818737332, -5.273834459099321, 2.853333, 86.175)
(1.2106850144026262, 1.3250587818737332, -5.273834459099321, 2.693333, 84.20625)
(1.2106850144026262, 1.3250587818737332, -5.273834459099321, 2.693333, 82.2375)
(1.2106850144026262, 1.3250587818737332, -5.273834459099321, 2.84, 80.26875)
(1.2106850144026262, 1.3250587818737332, -5.273834459099321, 2.806667, 79.9875)
(1.2106850144026262, 1.3250587818737332, -5.273834459099321, 2.806667, 80.26875)
(1.2106850144026262, 1.3250587818737332, -5.273834459099321, 2.693333, 82.2375)
(1.2106850144026262, 1.3250587818737332, -5.273834459099321, 2.693333, 84.20625)
(1.2106850144026262, 1.3250587818737332, -5.273834459099321, 2.86, 86.175)
(1.2408309737374599, 1.4052531521832932, -5.284800491899083, 2.86, 88.14375)
(1.2408309737374599, 1.4052531521832932, -5.284800491899083, 2.86, 90.1125)
(1.2408309737374599, 1.4052531521832932, -5.284800491899083, 2.866667, 92.08125)
(1.2408309737374599, 1.4052531521832932, -5.284800491899083, 2.873333, 94.05)
(1.2408309737374599, 1.4052531521832932, -5.284800491899083, 2.873333, 96.01875)
(1.2408309737374599, 1.4052531521832932, -5.284800491899083, -1.0, 97.9875)
(1.2408309737374599, 1.4052531521832932, -5.284800491899083, -1.0, 99.95625)
(1.2408309737374599, 1.4052531521832932, -5.284800491899083, -1.0, 97.9875)
(1.2596945457799678, 1.4474118220805143, -5.303588899609732, -1.0, 96.01875)
(1.2596945457799678, 1.4474118220805143, -5.303588899609732, 2.873333, 94.05)
(1.2596945457799678, 1.4474118220805143, -5.303588899609732, 2.866667, 92.08125)
(1.2596945457799678, 1.4474118220805143, -5.303588899609732, 2.866667, 90.1125)
(1.2596945457799678, 1.4474118220805143, -5.303588899609732, 2.693333, 88.14375)
(1.2596945457799678, 1.4474118220805143, -5.303588899609732, 2.686667, 86.175)
(1.2596945457799678, 1.4474118220805143, -5.303588899609732, 2.686667, 84.20625)
(1.2596945457799678, 1.4474118220805143, -5.303588899609732, 2.686667, 82.2375)
(1.275594728978552, 1.4938765047238634, -5.3139857188946396, 2.686667, 80.26875)
(1.275594728978552, 1.4938765047238634, -5.3139857188946396, 2.806667, 79.9875)
